Country,Year,Population,GDP,GDP_Growth,GDP_Per_Capita,Medal,Athelets,Continent,Status,Income
El Salvador,1984,4769898.5,23497905856,-1.9575,4926.75,0,10,Americas,Developing,Lower middle income
Equatorial Guinea,1984,297192.5,713637673.5,-4.095,2411.75,0,4,Africa,Developing,Upper middle income
Eritrea,1984,1864559.25,2664509925,0.37,1428.75,0,0,Africa,Developing,Low income
Estonia,1984,1497283.5,21663615117,3.45,14464.75,0,0,Europe,Developed,High income
Ethiopia,1984,37624200.5,33964273955,-2.9925,903.5,0,0,Africa,Developing,Low income
Fiji,1984,676322,4964973171,-0.12,7345.75,0,14,Oceania,Developing,Upper middle income
Finland,1984,4848819.25,1.27E+11,2.3775,26216.25,12,86,Europe,Developed,High income
France,1984,54538253.75,1.57E+12,1.18,28732.75,28,238,Europe,Developed,High income
Gabon,1984,774450,15638291760,1.0375,20188,0,4,Africa,Developing,Upper middle income
Gambia,1984,690394.5,1565489570,3.8625,2268.5,0,10,Africa,Developing,Low income
Georgia,1984,5105424.75,59788315428,4.865,11705.5,0,0,Asia,Developing,Upper middle income
Germany,1984,77871594.75,2.44E+12,1.915,31365.25,0,0,Europe,Developed,High income
Ghana,1984,11866083.25,25494154777,-3.8375,2153.25,0,21,Africa,Developing,Lower middle income
Greece,1984,9823471,2.02E+11,1.1825,20525.5,2,63,Europe,Developed,High income
Grenada,1984,94558.5,513749556.3,1.2925,5429.75,0,6,Americas,Developing,Upper middle income
Guatemala,1984,7752915.5,49196388505,-3.9925,6355,0,24,Americas,Developing,Upper middle income
Guinea,1984,5142120,7251755958,-0.93,1410.5,0,1,Africa,Developing,Low income
Guinea-Bissau,1984,821423.5,1402015237,0.07,1706.5,0,0,Africa,Developing,Low income
Guyana,1984,779288.25,4006806216,-4.3775,5140.25,0,10,Americas,Developing,Upper middle income
Haiti,1984,5982473.25,20052707088,-1.7175,3353,0,3,Americas,Developing,Low income
Honduras,1984,3972440.25,15743409704,-1.9625,3966.75,0,10,Americas,Developing,Lower middle income
Hungary,1984,10687072.75,1.79E+11,2.93,16707,0,0,Europe,Developed,High income
Iceland,1984,234694.25,6967213203,0.9775,29687,1,30,Europe,Developed,High income
India,1984,740971716,1.13E+12,2.1075,1518.75,0,47,Asia,Developing,Lower middle income
Indonesia,1984,156234764.5,5.41E+11,1.295,3461.25,0,16,Asia,Developing,Lower middle income
Iran,1984,42794693,4.1E+11,3.56,9551.5,0,0,Asia,Developing,Upper middle income
Iraq,1984,14620657.5,1.22E+11,-9.965,8378.25,0,23,Asia,Developing,Upper middle income
Ireland,1984,3463453.75,65386781180,2.13,18876.5,1,42,Europe,Developed,High income
Israel,1984,3870484.75,80424918112,1.085,20777,0,32,Asia,Developed,High income
Italy,1984,56694679.25,1.63E+12,1.73,28735.25,32,268,Europe,Developed,High income
Jamaica,1984,2252271.25,15444612192,1.1075,6855.75,3,44,Americas,Developing,Upper middle income
Japan,1984,119988751,2.98E+12,2.19,24837.5,32,226,Asia,Developed,High income
Jordan,1984,2621066.25,24540848809,2.0275,9353.5,0,13,Asia,Developing,Upper middle income
Kazakhstan,1984,15218428.5,2E+11,-0.7525,13144.5,0,0,Asia,Developing,Upper middle income
Kenya,1984,18094589.75,47629617566,-0.055,2632.25,3,61,Africa,Developing,Lower middle income
Kiribati,1984,61367.25,147583165.5,-1.18,2405.5,0,0,Oceania,Developing,Lower middle income
Kuwait,1984,1544023.75,67865459346,-8.9875,44058,0,23,Asia,Developing,High income
Kyrgyz Republic,1984,3796746.5,21404490770,-0.3975,5637,0,0,Asia,Developing,Lower middle income
Latvia,1984,2546627.5,40728498825,1.505,15991.75,0,0,Europe,Developed,High income
Lebanon,1984,2615143.75,11736037842,5.8025,4486.25,0,22,Asia,Developing,Upper middle income
Lesotho,1984,1433895.5,1492613705,-2.9525,1042.5,0,4,Africa,Developing,Lower middle income
Liberia,1984,2019302,4220335838,-4.705,2093.25,0,7,Africa,Developing,Low income
Libya,1984,3547404,32433868554,-8.4025,9161,0,0,Africa,Developing,Upper middle income
Lithuania,1984,3494327,58396638754,2.4125,16709,0,0,Europe,Developed,High income
Luxembourg,1984,365243.75,15780739309,3.75,43203.75,0,5,Europe,Developed,High income
Madagascar,1984,9372657,18242299201,-5.3375,1948.75,0,5,Africa,Developing,Low income
Malawi,1984,6670225.5,5332331461,-3.325,799.75,0,15,Africa,Developing,Low income
Malaysia,1984,14654251.25,1.17E+11,4.495,7949.5,0,21,Asia,Developing,Upper middle income
Maldives,1984,173193.25,849538237,8.75,4885.25,0,0,Asia,Developing,Upper middle income
Mali,1984,7465853.75,9417969071,-1.645,1261.5,0,4,Africa,Developing,Low income
Malta,1984,338539.75,4227113484,2.9325,12483,0,7,Europe,Developed,High income
Marshall Islands,1984,34164.5,87677304.75,2.6075,2561.5,0,0,Oceania,Developing,Upper middle income
Mauritania,1984,1658186.75,6754719795,-0.4825,4076.25,0,2,Africa,Developing,Lower middle income
Mauritius,1984,993270.5,6052920888,0.9725,6093.75,0,4,Africa,Developing,Upper middle income
Mexico,1984,71882052.5,1.04E+12,0.63,14544.75,6,99,Americas,Developing,Upper middle income
Moldova,1984,4112667,58818861023,4.85,14293.75,0,0,Europe,Developed,Lower middle income
Monaco,1984,27849.25,1144048275,0.9975,41070.75,0,8,Europe,Developed,High income
Mongolia,1984,1801376.25,3808810974,4.6475,2111.5,0,0,Asia,Developing,Lower middle income
Montenegro,1984,598860.75,8455860865,1.9725,14113.75,0,0,Europe,Developed,Upper middle income
Morocco,1984,21240365.25,75249415844,-0.4075,3542,2,34,Africa,Developing,Lower middle income
Mozambique,1984,12294698.75,5939147779,-5.105,484,0,9,Africa,Developing,Low income
Myanmar,1984,36111018,34010094686,-0.205,941.75,0,1,Asia,Developing,Lower middle income
Namibia,1984,1119986.75,7684896102,-3.0725,6870.25,0,0,Africa,Developing,Upper middle income
Nauru,1984,8095.25,325925707,-5.05,40311.25,0,0,Oceania,Developing,Upper middle income
Nepal,1984,15918692.75,19463947198,2.045,1222.75,0,10,Asia,Developing,Low income
Netherlands,1984,14330466,4.27E+11,0.8175,29793.75,13,136,Europe,Developed,High income
New Zealand,1984,3203031.5,84477086991,2.96,26368,11,130,Oceania,Developed,High income
Nicaragua,1984,3501990,16864625529,0.095,4816.5,0,5,Americas,Developing,Lower middle income
Niger,1984,6438799.25,9350045511,-6.605,1456.75,0,4,Africa,Developing,Low income
Nigeria,1984,78432910.5,1.53E+11,-7.4025,1954.5,2,32,Africa,Developing,Lower middle income
North Korea,1984,18157037.75,49496815518,2.0725,2725.25,0,0,Asia,Developing,Low income
Norway,1984,4118369.25,1.4E+11,3.0475,33976.25,3,103,Europe,Developed,High income
Oman,1984,1325712.5,24425000047,12.4975,18283.25,0,16,Asia,Developing,High income
Pakistan,1984,84902925.5,1.98E+11,3.29,2334.25,1,31,Asia,Developing,Lower middle income
Palau,1984,12708,211194630,-3.795,16626,0,0,Oceania,Developing,High income
Palestine,1984,1627470,4589845616,-2.2325,2821.25,0,0,Asia,Developing,Lower middle income
Panama,1984,2097976.5,21662863049,2.155,10326,0,8,Americas,Developing,High income
Papua New Guinea,1984,3821007.75,9388910627,-0.79,2457.5,0,7,Oceania,Developing,Lower middle income
Paraguay,1984,3420373.25,26352584821,0.3125,7711.25,0,14,Americas,Developing,Upper middle income
Peru,1984,18650638,1.3E+11,-3.5175,7007,1,35,Americas,Developing,Upper middle income
Philippines,1984,50733088,2.27E+11,-1.9075,4471.75,0,19,Asia,Developing,Lower middle income
Poland,1984,36379928.5,4.22E+11,0.2975,11585.25,0,0,Europe,Developed,High income
Portugal,1984,9878981.25,1.69E+11,0.71,17151,3,38,Europe,Developed,High income
Qatar,1984,293946,25530841150,-11.3625,88392.5,0,24,Asia,Developing,High income
Romania,1984,22864753.5,2.77E+11,5.6425,12129.25,53,124,Europe,Developed,Upper middle income
Russia,1984,140455683,2.76E+12,1.61,19624.5,0,0,Europe,Developed,Upper middle income
Rwanda,1984,5606983.25,5384112749,0.3325,960.25,0,3,Africa,Developing,Low income
Samoa,1984,157840.75,614176181.8,-2.3825,3891.5,0,8,Oceania,Developing,Upper middle income
San Marino,1984,22161.25,944086779,0.87,42594,0,19,Europe,Developed,High income
Sao Tome and Principe,1984,100283.75,308638907,-6.2175,3080.5,0,0,Africa,Developing,Lower middle income
Saudi Arabia,1984,11355147.5,2.45E+11,-5.94,21733.75,0,37,Asia,Developing,High income
Senegal,1984,6004290.5,14236313308,-0.1525,2370.75,0,23,Africa,Developing,Lower middle income
Serbia,1984,9090790.75,1.31E+11,1.125,14445,0,0,Europe,Developed,Upper middle income
Seychelles,1984,68400.25,648223486.8,-0.1425,9475,0,9,Africa,Developing,High income
Sierra Leone,1984,3582911,5494886326,-0.495,1534.25,0,7,Africa,Developing,Low income
Singapore,1984,2550974,59918700842,6.55,23442.5,0,5,Asia,Developing,High income
Slovak Republic,1984,5088973.5,70979963676,-0.1375,13947.5,0,0,Europe,Developed,High income
Slovenia,1984,1891854.5,46998469601,-0.395,24843.5,0,0,Europe,Developed,High income
Solomon Islands,1984,250532.75,461020679.3,4.675,1837.75,0,3,Oceania,Developing,Lower middle income
Somalia,1984,6588115.5,6223309009,0.05,944.75,0,7,Africa,Developing,Low income
South Africa,1984,30579723.25,3.44E+11,-0.69,11257,0,0,Africa,Developing,Upper middle income
South Korea,1984,39455383,2.8E+11,7.3375,7090.25,19,174,Asia,Developing,High income
South Sudan,1984,4873886.25,13898042336,-0.705,2852.75,0,0,Africa,Developing,Low income
Spain,1984,38295414.5,7.39E+11,1.245,19292.25,5,179,Europe,Developed,High income
Sri Lanka,1984,15611793.5,52213071257,3.32,3342.75,0,4,Asia,Developing,Upper middle income
St. Kitts and Nevis,1984,42592.75,352908469.5,4.215,8288.25,0,0,Americas,Developing,High income
St. Lucia,1984,121822.25,770559294,5.0725,6319.5,0,0,Americas,Developing,Upper middle income
St. Vincent and the Grenadines,1984,102626.25,453655556.3,4.2025,4418.75,0,0,Americas,Developing,Upper middle income
Sudan,1984,15838738,32290663889,-0.4875,2039.5,0,7,Africa,Developing,Lower middle income
Suriname,1984,362018.75,4497217313,-0.545,12424.75,0,5,Americas,Developing,Upper middle income
Swaziland,1984,641384.5,2405743873,-0.295,3754,0,8,Africa,Developing,Lower middle income
Sweden,1984,8331951.5,2.44E+11,1.795,29342.75,19,174,Europe,Developed,High income
Switzerland,1984,6342554.25,3.08E+11,0.23,48561.5,8,128,Europe,Developed,High income
Syria,1984,9768745,1.18E+11,-1.32,12126.5,1,9,Asia,Developing,Low income
Tajikistan,1984,4205989,20741927511,-2.475,4935,0,0,Asia,Developing,Low income
Tanzania,1984,20042581.25,26472774208,-1.3925,1321.5,0,18,Africa,Developing,Low income
Thailand,1984,49712737.5,2.24E+11,3.1275,4507,1,35,Asia,Developing,Upper middle income
Timor-Leste,1984,621398,1097818185,3.2825,1765.25,0,0,Asia,Developing,Lower middle income
Togo,1984,2973937.5,4161731012,-5.9375,1403,0,6,Africa,Developing,Low income
Tonga,1984,93645,310714713.3,9.7225,3317.5,0,7,Oceania,Developing,Upper middle income
Trinidad and Tobago,1984,1128789,17138277524,-4.21,15204,0,16,Americas,Developing,High income
Tunisia,1984,6841087.25,34749652705,0.6475,5079,0,23,Africa,Developing,Lower middle income
Turkey,1984,46550362.5,4.18E+11,3.4375,8981.25,3,46,Asia,Developing,Upper middle income
Turkmenistan,1984,3056143,24312333176,-1.445,7958.5,0,0,Asia,Developing,Upper middle income
Tuvalu,1984,7981.75,17757531,-6.2425,2227.25,0,0,Oceania,Developing,Upper middle income
Uganda,1984,13442168.5,13015980990,-0.7475,968.5,0,26,Africa,Developing,Low income
Ukraine,1984,50467667.25,6.97E+11,3.9775,13809.75,0,0,Europe,Developed,Lower middle income
United Arab Emirates,1984,1195961.25,90544287155,-7.3325,76195.5,0,7,Asia,Developing,High income
United Kingdom,1984,56267960,1.38E+12,1.5675,24537.25,37,337,Europe,Developed,High income
United States,1984,234936250.3,7.91E+12,1.9,33645.5,174,522,Americas,Developed,High income
Uruguay,1984,2963443.5,28889026503,-4.8225,9754,0,18,Americas,Developing,High income
Uzbekistan,1984,16965455,76479787920,-1.395,4510.75,0,0,Asia,Developing,Lower middle income
Vanuatu,1984,122803.75,330637505,8.2625,2684.25,0,0,Oceania,Developing,Lower middle income
Venezuela,1984,16233819.75,2.75E+11,-4.36,16943.25,3,26,Americas,Developing,Upper middle income
Vietnam,1984,57499529,80031549754,3.755,1390.25,0,0,Asia,Developing,Lower middle income
Yemen,1984,8713987.75,38050993899,1.4325,4364.75,0,0,Asia,Developing,Low income
Zambia,1984,6376171,13640201258,-2.0925,2143,1,16,Africa,Developing,Lower middle income
Zimbabwe,1984,8112706.5,25529883737,1.0825,3149.25,0,15,Africa,Developing,Lower middle income
Afghanistan,1988,11724231.75,16730568748,-4.595,1426.25,0,5,Asia,Developing,Low income
Albania,1988,3084934,14474670031,0.7925,4690.75,0,0,Europe,Developed,Upper middle income
Algeria,1988,23437913,2.16E+11,-2.1875,9207.25,0,42,Africa,Developing,Upper middle income
Andorra,1988,47501.25,1481296707,-0.1475,31175.5,0,3,Europe,Developed,High income
Angola,1988,10509851.75,14889947025,2.3725,1414.25,0,24,Africa,Developing,Lower middle income
Antigua and Barbuda,1988,61752.5,771341843,9.1625,12491,0,15,Americas,Developing,High income
Argentina,1988,30942149.5,4.74E+11,-0.585,15316,2,118,Americas,Developing,Upper middle income
Armenia,1988,3421203.25,20769158042,-5.3625,6080.25,0,0,Asia,Developing,Upper middle income
Australia,1988,16054167.25,4.7E+11,2.665,29262.25,14,252,Oceania,Developed,High income
Austria,1988,7634619,2.53E+11,2.8175,33160.75,1,73,Europe,Developed,High income
Azerbaijan,1988,6837147.75,64490615960,2.4575,9427,0,0,Asia,Developing,Upper middle income
Bahamas,1988,241078.75,8809879807,1.6275,36534.25,0,16,Americas,Developing,High income
Bahrain,1988,441771.25,16968611175,-1.2775,38414.5,0,7,Asia,Developing,High income
Bangladesh,1988,94452320.5,1.31E+11,2.065,1391,0,6,Asia,Developing,Lower middle income
Barbados,1988,257589.75,3494656797,2.4625,13565,0,17,Americas,Developing,High income
Belarus,1988,9993587.5,91546930092,-0.9575,9161.25,0,0,Europe,Developed,Upper middle income
Belgium,1988,9936602,3.15E+11,2.715,31660.25,2,59,Europe,Developed,High income
Belize,1988,171960.75,629756753.5,3.615,3655.5,0,10,Americas,Developing,Upper middle income
Benin,1988,4472778,9768185476,-0.2125,2185.5,0,7,Africa,Developing,Low income
Bhutan,1988,486698,1013903225,10.9275,2072.5,0,3,Asia,Developing,Lower middle income
Bolivia,1988,6377932.75,27788689467,-0.81,4357.25,0,7,Americas,Developing,Lower middle income
Bosnia and Herzegovina,1988,4454259.5,21428146880,-3.3775,4812.75,0,0,Europe,Developed,Upper middle income
Botswana,1988,1133877.5,7069172352,5.41,6219.25,0,8,Africa,Developing,Upper middle income
Brazil,1988,139475527.3,1.51E+12,3.1075,10807.75,6,160,Americas,Developing,Upper middle income
Brunei,1988,234331.75,18556741036,-6.135,79381.75,0,0,Asia,Developing,High income
Bulgaria,1988,8961278.5,1.21E+11,0.17,13453,35,172,Europe,Developed,Upper middle income
Burkina Faso,1988,8038747.5,8274456694,4.0875,1028.75,0,6,Africa,Developing,Low income
Burundi,1988,4958355.75,5745942029,3.425,1158.25,0,0,Africa,Developing,Low income
Cambodia,1988,8077459.25,14113730550,0.0225,1748.5,0,0,Asia,Developing,Lower middle income
Cameroon,1988,10568192,44613267979,-5.9025,4235,0,15,Africa,Developing,Lower middle income
Canada,1988,26264832.5,8.78E+11,3.0675,33395.5,10,328,Americas,Developed,High income
Central African Republic,1988,2620186.25,3422684711,-1.51,1307.25,0,15,Africa,Developing,Low income
Chad,1988,5336287.25,5028040548,4.3525,941.25,0,6,Africa,Developing,Low income
Chile,1988,12548425,1.06E+11,2.965,8475.25,1,17,Americas,Developing,High income
China,1988,1106105795,1.74E+12,1.555,1572.75,28,270,Asia,Developing,Upper middle income
Colombia,1988,30885404.25,2.41E+11,2.3,7807,1,40,Americas,Developing,Upper middle income
Comoros,1988,371428.25,1120564993,1.8075,3015,0,0,Africa,Developing,Lower middle income
Costa Rica,1988,2848188,26115656578,1.135,9163,1,16,Americas,Developing,Upper middle income
Croatia,1988,4746478.75,93797904530,0.99,19760.75,0,0,Europe,Developed,High income
Cuba,1988,10241492,59112469487,-0.255,5772.75,0,0,Americas,Developing,Upper middle income
Cyprus,1988,718972.25,14191131928,6.0275,19713.75,0,9,Asia,Developed,High income
Czech Republic,1988,10329207.75,2.22E+11,3.45,21465.75,0,0,Europe,Developed,High income
Denmark,1988,5117154.75,1.91E+11,2.73,37394.75,4,78,Europe,Developed,High income
Djibouti,1988,474824.25,1541162255,-1.66,3251.25,1,6,Africa,Developing,Lower middle income
Dominica,1988,72198,464683740.8,7.0025,6442,0,0,Americas,Developing,Upper middle income
Dominican Republic,1988,6663641,38233157889,0.9425,5733.5,0,16,Americas,Developing,Upper middle income
Ecuador,1988,9409129.75,77537608856,0.7275,8242.5,0,13,Americas,Developing,Upper middle income
Egypt,1988,51313006.25,2.98E+11,2.08,5807,0,49,Africa,Developing,Lower middle income
El Salvador,1988,5034986.5,25464245294,0.8125,5057,0,6,Americas,Developing,Lower middle income
Equatorial Guinea,1988,374772.5,818489790.3,-1.865,2188.5,0,6,Africa,Developing,Upper middle income
Eritrea,1988,2095443.25,2858603447,0.8975,1361.25,0,0,Africa,Developing,Low income
Estonia,1988,1543462,24854847179,2.8175,16097.75,0,0,Europe,Developed,High income
Ethiopia,1988,42676071.25,34998463264,-0.6825,819,0,0,Africa,Developing,Low income
Fiji,1988,718778,5049665090,-1.2975,7025.25,0,23,Oceania,Developing,Upper middle income
Finland,1988,4937256.75,1.46E+11,3.5625,29502.5,4,78,Europe,Developed,High income
France,1988,55691017,1.71E+12,2.3675,30674.5,16,266,Europe,Developed,High income
Gabon,1988,862375.5,15300839145,-4.615,17785.75,0,2,Africa,Developing,Upper middle income
Gambia,1988,812845.75,1809703150,0.225,2226.25,0,6,Africa,Developing,Low income
Georgia,1988,5296750.75,70127641951,2.03,13238.5,0,0,Asia,Developing,Upper middle income
Germany,1988,77955248.5,2.74E+12,2.98,35184.75,0,0,Europe,Developed,High income
Ghana,1988,13361881,28987910944,2.465,2167.75,0,16,Africa,Developing,Lower middle income
Greece,1988,10035499,2.27E+11,2.8325,22581.25,1,56,Europe,Developed,High income
Grenada,1988,99421.75,681283773.3,8.3425,6857,0,6,Americas,Developing,Upper middle income
Guatemala,1988,8540083.75,47733993615,-2.01,5592,0,28,Americas,Developing,Upper middle income
Guinea,1988,5720985.75,8232144802,1.4725,1438.5,0,6,Africa,Developing,Low income
Guinea-Bissau,1988,902623.5,1631674909,2.5175,1806.5,0,0,Africa,Developing,Low income
Guyana,1988,760744.5,3828576229,1.85,5033.25,0,8,Americas,Developing,Upper middle income
Haiti,1988,6548194,21586477033,0.075,3296.5,0,4,Americas,Developing,Low income
Honduras,1988,4477669.5,17595528653,0.8675,3928,0,8,Americas,Developing,Lower middle income
Hungary,1988,10498675,1.91E+11,2.4725,18211.25,23,188,Europe,Developed,High income
Iceland,1988,245683.5,8145988886,3.535,33137.75,0,32,Europe,Developed,High income
India,1988,810871573.8,1.32E+12,2.4425,1621,0,46,Asia,Developing,Lower middle income
Indonesia,1988,170008862,6.4E+11,2.7525,3763,1,29,Asia,Developing,Lower middle income
Iran,1988,50219638.5,4.44E+11,-5.87,8878.75,1,23,Asia,Developing,Upper middle income
Iraq,1988,16083740.5,1.06E+11,-7.935,6598.25,0,27,Asia,Developing,Upper middle income
Ireland,1988,3513851.75,74116405329,3.77,21092.5,0,61,Europe,Developed,High income
Israel,1988,4136130.25,91919434692,2.5325,22210,0,18,Asia,Developed,High income
Italy,1988,56986659.25,1.85E+12,3.7925,32510.25,14,253,Europe,Developed,High income
Jamaica,1988,2364622.5,16754554789,2.3975,7082.5,2,35,Americas,Developing,Upper middle income
Japan,1988,122762461,3.42E+12,3.6275,27873.75,14,254,Asia,Developed,High income
Jordan,1988,3075925.25,30843084542,0.3825,10026,0,7,Asia,Developing,Upper middle income
Kazakhstan,1988,15940842.25,2.12E+11,1.5,13275.5,0,0,Asia,Developing,Upper middle income
Kenya,1988,21008858.5,59996610641,3.8,2850.5,9,74,Africa,Developing,Lower middle income
Kiribati,1988,66456,147473216.5,0.3725,2217.75,0,0,Oceania,Developing,Lower middle income
Kuwait,1988,1885336.5,72485466694,-4.7825,38523.5,0,25,Asia,Developing,High income
Kyrgyz Republic,1988,4116522,20951003797,-1.91,5090.5,0,0,Asia,Developing,Lower middle income
Latvia,1988,2614914,42149067371,0.1925,16117.25,0,0,Europe,Developed,High income
Lebanon,1988,2666376,16769629414,-0.1875,6291.75,0,21,Asia,Developing,Upper middle income
Lesotho,1988,1578801.75,1715555035,4.37,1085.5,0,6,Africa,Developing,Lower middle income
Liberia,1988,2147901.75,4091499819,0.1125,1905,0,8,Africa,Developing,Low income
Libya,1988,4049637.5,31849995338,-2.8925,7889.25,0,6,Africa,Developing,Upper middle income
Lithuania,1988,3610571.25,62691424815,2.3075,17355.75,0,0,Europe,Developed,High income
Luxembourg,1988,370184.5,19975955898,6.58,53932.5,0,8,Europe,Developed,High income
Madagascar,1988,10503939.75,19014259440,-0.53,1810.5,0,0,Africa,Developing,Low income
Malawi,1988,7928121.75,5984050404,-2.865,757.5,0,16,Africa,Developing,Low income
Malaysia,1988,16296783.5,1.38E+11,1.36,8431.25,0,9,Asia,Developing,Upper middle income
Maldives,1988,199653.25,1377427896,6.04,6884.5,0,7,Asia,Developing,Upper middle income
Mali,1988,8004623,10614993674,0.865,1326,0,5,Africa,Developing,Low income
Malta,1988,351024.5,5106765784,5.25,14539.5,0,6,Europe,Developed,High income
Marshall Islands,1988,41200.75,121678158.8,5.7375,2938,0,0,Oceania,Developing,Upper middle income
Mauritania,1988,1854973.5,8115056334,3.1175,4370.5,0,6,Africa,Developing,Lower middle income
Mauritius,1988,1026617.75,7197618352,5.3875,7007.5,0,8,Africa,Developing,Upper middle income
Mexico,1988,78392849.25,1.1E+12,-0.63,14067,2,83,Americas,Developing,Upper middle income
Moldova,1988,4270898,61226739776,-0.7175,14332.75,0,0,Europe,Developed,Lower middle income
Monaco,1988,29068.5,1269273611,2.28,43659,0,9,Europe,Developed,High income
Mongolia,1988,2005315.5,4930380335,3.53,2456,1,28,Asia,Developing,Lower middle income
Montenegro,1988,615803.75,9470466866,0.515,15378.5,0,0,Europe,Developed,Upper middle income
Morocco,1988,23207573.25,86227595795,2.055,3714.75,3,27,Africa,Developing,Lower middle income
Mozambique,1988,12779326.75,5352784176,0.355,419,0,8,Africa,Developing,Low income
Myanmar,1988,39041393.5,31017120614,-8.5275,796.5,0,2,Asia,Developing,Lower middle income
Namibia,1988,1265353.25,8084701586,-0.61,6389.25,0,0,Africa,Developing,Upper middle income
Nauru,1988,8776.5,282983436.5,-5.5825,32293,0,0,Oceania,Developing,Upper middle income
Nepal,1988,17435611,23039132079,2.2225,1320.75,0,16,Asia,Developing,Low income
Netherlands,1988,14641597.25,4.79E+11,2.335,32686,9,147,Europe,Developed,High income
